site_id,customer_name,address,city,postcode,country,contract_tier,sla_minutes,equipment_types,refrigerant_charge_kg,annual_contract_value_eur
S-2001,Carrefour Lyon DC,12 Avenue Charles de Gaulle,Lyon,69003,FR,Platinum,120,industrial-chiller;cold-storage,18.4,420000
S-2002,Lidl Hamburg North,Schillerstrasse 44,Hamburg,20146,DE,Platinum,120,cold-storage;freezer-bank,22.1,510000
S-2003,Tesco Dublin RDC,Unit 4 North Park,Dublin,D11 H3F5,IE,Gold,240,cold-storage;mini-split,14.6,180000
S-2004,Auchan Warsaw Centre,Aleje Jerozolimskie 200,Warsaw,02-486,PL,Gold,240,industrial-chiller;rooftop-unit,9.8,210000
S-2005,Mercadona Madrid Sur,Calle Toledo 30,Madrid,28005,ES,Platinum,120,cold-storage;freezer-bank,19.2,395000
S-2006,Albert Heijn Rotterdam,Coolsingel 75,Rotterdam,3012-AD,NL,Gold,240,cold-storage;mini-split,11.4,165000
S-2007,Carrefour Brussels DC,Boulevard Anspach 60,Brussels,1000,BE,Platinum,120,industrial-chiller;cold-storage,17.9,408000
S-2008,Coop Stockholm Bromma,Drottninggatan 88,Stockholm,11136,SE,Gold,240,cold-storage;mini-split,12.5,175000
S-2009,Edeka Munich,Marienplatz 12,Munich,80331,DE,Silver,1440,rooftop-unit;split-system,4.2,52000
S-2010,Continente Lisbon,Avenida da Liberdade 100,Lisbon,1250-145,PT,Gold,240,cold-storage;rooftop-unit,10.8,148000
S-2011,Carrefour Milan East,Corso Buenos Aires 33,Milan,20124,IT,Platinum,120,industrial-chiller;freezer-bank,20.6,445000
S-2012,Lidl Athens,Patision 76,Athens,10434,GR,Gold,240,cold-storage;split-system,8.4,138000
S-2013,Biedronka Krakow,Rynek Glowny 12,Krakow,31-042,PL,Gold,240,cold-storage;freezer-bank,11.2,168000
S-2014,Sainsbury London E14,1 Canada Square,London,E14 5AB,GB,Platinum,120,industrial-chiller;cold-storage,15.8,372000
S-2015,Spar Vienna 7,Mariahilferstrasse 200,Vienna,1070,AT,Silver,1440,rooftop-unit;split-system,3.6,48000
S-2016,Coop Helsinki,Mannerheimintie 22,Helsinki,00100,FI,Gold,240,cold-storage;mini-split,9.6,142000
S-2017,Migros Geneva,Rue du Rhone 45,Geneva,1204,CH,Platinum,120,industrial-chiller;freezer-bank,16.4,388000
S-2018,Rewe Berlin Mitte,Unter den Linden 50,Berlin,10117,DE,Gold,240,cold-storage;rooftop-unit,12.0,170000
S-2019,Tesco Bratislava,Stefanikova 19,Bratislava,81104,SK,Silver,1440,rooftop-unit;split-system,3.8,46000
S-2020,Carrefour Paris 16,Avenue Foch 88,Paris,75016,FR,Platinum,120,cold-storage;freezer-bank,18.9,418000
