return_id,order_id,order_date,return_date,customer_id,sku,product_name,category,unit_price_gbp,qty,return_value_gbp,channel,reason_text,reason_code,condition_reported,days_to_refund,disposition,refund_status,agent_id
R-50012,O-88231,2026-05-02,2026-05-06,C-1001,FLC-COZ-GRY,Cosy Fleece Pullover,Clothing,39.99,1,39.99,online,"Too small, needed the next size up",SIZE-SMALL,"new, tags on",4,restock,refunded,A-04
R-50013,O-88410,2026-05-03,2026-05-15,C-1002,TNT-2P-GRN,Summit 2-Person Tent,Camping,189.99,1,189.99,online,"Looked nothing like the photo, much darker green",COLOUR-DIFF,new,12,restock,refunded,A-02
R-50014,O-88455,2026-05-03,2026-05-19,C-1007,BOOT-MTR-BRN,Trailmaster Walking Boot,Footwear,129.99,1,129.99,online,too small,,"soles dirty, worn",16,liquidate,refunded,A-07
R-50015,O-88502,2026-05-04,2026-05-08,C-1004,JKT-RNX-BLU,Rainex Waterproof Jacket,Clothing,89.99,1,89.99,online,"Zip broke on second use, faulty",FAULTY,"used, faulty",4,refurbish,refunded,A-04
R-50016,O-88560,2026-05-05,2026-05-22,C-1013,JKT-RNX-BLU,Rainex Waterproof Jacket,Clothing,89.99,1,89.99,online,Didn't suit me,,"smells of perfume, worn",17,liquidate,refunded,A-11
R-50017,O-88599,2026-05-05,2026-05-09,C-1006,RKS-45L-BLK,Voyager 45L Rucksack,Bags,99.99,1,99.99,online,"Bought two colours to compare, returning this one",CHANGED-MIND,"new, tags on",4,restock,refunded,A-02
R-50018,O-88634,2026-05-06,2026-05-25,C-1019,HDP-NCN-BLK,Noise-Cancelling Headphones,Electronics,89.99,1,89.99,online,"faulty, won't pair",,no fault found on test,19,restock,refunded,A-09
R-50019,O-88688,2026-05-06,2026-05-10,C-1009,DUV-TOG-WHT,13.5 Tog Duvet King,Home,49.99,1,49.99,online,"Changed mind, too warm for summer",CHANGED-MIND,"opened, hygiene seal broken",4,recycle,refunded,A-04
R-50020,O-88701,2026-05-07,2026-05-28,C-1007,BOOT-MTR-BRN,Trailmaster Walking Boot,Footwear,129.99,1,129.99,online,didn't fit,,"worn outdoors, mud",21,liquidate,refunded,A-07
R-50021,O-88745,2026-05-08,2026-05-12,C-1011,STV-DUO-SLV,DuoFlame Camping Stove,Cooking,199.99,1,199.99,online,"Gas leak on first use, extremely dangerous, please investigate",FAULTY,"faulty, safety",4,recycle,refunded,A-02
R-50022,O-88790,2026-05-08,2026-05-13,C-1003,SOCK-MER-GRY,Merino Hiking Socks 3pk,Clothing,16.99,1,16.99,store,Wrong size in pack,NOT-AS-DESC,opened,5,recycle,refunded,A-05
R-50023,O-88822,2026-05-09,2026-05-13,C-1014,GAZ-3M-CRM,Garden Gazebo 3m,Garden,149.99,1,149.99,online,"Missing two poles, couldn't build it",FAULTY,incomplete,4,refurbish,refunded,A-04
R-50024,O-88876,2026-05-09,2026-05-30,C-1013,TRS-CRG-KHK,Cargo Trousers,Clothing,44.99,1,44.99,online,not for me,,"worn, tags removed",21,liquidate,refunded,A-11
R-50025,O-88901,2026-05-10,2026-05-14,C-1015,KTL-15L-SLV,1.5L Electric Kettle,Home,32.99,1,32.99,online,"Arrived dented, damaged box",DAMAGED-TRANSIT,damaged packaging,4,refurbish,refunded,A-02
R-50026,O-88934,2026-05-10,2026-05-15,C-1005,CHR-FLD-RED,Folding Camp Chair,Camping,34.99,1,34.99,online,Ordered by mistake,CHANGED-MIND,"new, sealed",5,restock,refunded,A-08
R-50027,O-88970,2026-05-11,2026-05-15,C-1001,BOOT-MTR-BRN,Trailmaster Walking Boot,Footwear,129.99,1,129.99,online,"Half a size too big, otherwise lovely",SIZE-LARGE,"new, tags on",4,restock,refunded,A-04
R-50028,O-89004,2026-05-11,2026-05-29,C-1019,WCH-FIT-BLK,Fitness Watch,Electronics,79.99,1,79.99,online,stopped working,,no fault found,18,restock,refunded,A-09
R-50029,O-89050,2026-05-12,2026-05-16,C-1017,HOS-25M-GRN,Expandable Garden Hose 25m,Garden,24.99,1,24.99,online,Leaks at the connector,FAULTY,used,4,recycle,refunded,A-02
R-50030,O-89087,2026-05-12,2026-05-17,C-1010,FLC-COZ-GRY,Cosy Fleece Pullover,Clothing,39.99,1,39.99,online,Colour faded after one wash,QUALITY,"washed, worn",5,liquidate,refunded,A-08
R-50031,O-89122,2026-05-13,2026-05-17,C-1002,TNT-2P-GRN,Summit 2-Person Tent,Camping,189.99,1,189.99,online,"bought 3 tents to compare for a group trip, keeping one",,new,4,restock,refunded,A-02
R-50032,O-89155,2026-05-13,2026-05-18,C-1022,TNT-2P-GRN,Summit 2-Person Tent,Camping,189.99,1,189.99,online,"bought 3 tents to compare for a group trip, keeping one",,new,5,restock,refunded,A-02
