order_id,site_id,created_at,scheduled_at,priority,fault_type,skill_required,refrigerant_kg_involved,sla_deadline,assigned_tech_id,completed_at,outcome,breached
WO-4001,S-2001,2025-01-13T07:14:00,2025-01-13T08:30:00,High,chiller-compressor-fail,refrigerant,18.4,2025-01-13T09:14:00,T-1007,2025-01-13T09:02:00,resolved,No
WO-4002,S-2003,2025-01-13T08:02:00,2025-01-13T09:00:00,Medium,cold-room-temp-drift,refrigerant,5.4,2025-01-13T12:02:00,T-1015,2025-01-13T11:14:00,resolved,No
WO-4003,S-2002,2025-01-13T09:48:00,2025-01-13T10:30:00,High,freezer-bank-failure,refrigerant;controls,22.1,2025-01-13T11:48:00,T-1008,2025-01-13T12:35:00,resolved,Yes
WO-4004,S-2009,2025-01-13T11:20:00,2025-01-14T09:00:00,Low,rooftop-rattle,mechanical,1.2,2025-01-15T11:20:00,T-1009,2025-01-14T10:15:00,resolved,No
WO-4005,S-2005,2025-01-13T14:05:00,2025-01-13T15:30:00,High,freezer-bank-failure,refrigerant,19.2,2025-01-13T16:05:00,T-1014,2025-01-13T15:51:00,resolved,No
WO-4006,S-2011,2025-01-14T06:38:00,2025-01-14T07:30:00,High,chiller-leak,refrigerant,20.6,2025-01-14T08:38:00,T-1010,2025-01-14T08:22:00,resolved,No
WO-4007,S-2007,2025-01-14T08:12:00,2025-01-14T09:30:00,High,chiller-compressor-fail,refrigerant;controls,17.9,2025-01-14T10:12:00,T-1018,2025-01-14T11:30:00,resolved,Yes
WO-4008,S-2014,2025-01-14T10:45:00,2025-01-14T11:30:00,High,industrial-chiller-fault,refrigerant;controls,15.8,2025-01-14T12:45:00,T-1001,2025-01-14T12:18:00,resolved,No
WO-4009,S-2017,2025-01-14T13:22:00,2025-01-14T14:30:00,High,freezer-bank-temp-drift,refrigerant,16.4,2025-01-14T15:22:00,T-1003,2025-01-14T15:58:00,resolved,Yes
WO-4010,S-2008,2025-01-15T07:00:00,2025-01-15T08:00:00,Medium,cold-room-fan,mechanical,3.0,2025-01-15T11:00:00,T-1016,2025-01-15T09:42:00,resolved,No
WO-4011,S-2020,2025-01-15T08:34:00,2025-01-15T09:30:00,High,chiller-compressor-fail,refrigerant;controls,18.9,2025-01-15T10:34:00,T-1007,2025-01-15T10:21:00,resolved,No
WO-4012,S-2004,2025-01-15T10:12:00,2025-01-15T11:30:00,Medium,rooftop-temperature-control,controls,2.4,2025-01-15T14:12:00,T-1019,2025-01-15T13:08:00,resolved,No
WO-4013,S-2002,2025-01-15T11:48:00,2025-01-15T12:30:00,High,cold-storage-fan-burnout,electrical,8.0,2025-01-15T13:48:00,T-1008,2025-01-15T14:42:00,resolved,Yes
WO-4014,S-2010,2025-01-16T07:22:00,2025-01-16T08:30:00,Medium,rooftop-coolant-low,refrigerant,4.6,2025-01-16T11:22:00,T-1004,2025-01-16T10:38:00,resolved,No
WO-4015,S-2018,2025-01-16T09:08:00,2025-01-16T10:00:00,Medium,cold-storage-door-seal,mechanical,2.0,2025-01-16T13:08:00,T-1023,2025-01-16T11:30:00,resolved,No
WO-4016,S-2006,2025-01-16T11:34:00,2025-01-16T12:30:00,Medium,mini-split-compressor,refrigerant,3.4,2025-01-16T15:34:00,T-1005,2025-01-16T14:18:00,resolved,No
WO-4017,S-2013,2025-01-16T14:00:00,2025-01-16T15:00:00,Medium,freezer-bank-defrost-cycle,controls,5.8,2025-01-16T18:00:00,T-1002,2025-01-16T17:22:00,resolved,No
WO-4018,S-2001,2025-01-17T06:48:00,2025-01-17T08:00:00,High,chiller-leak,refrigerant;controls,18.4,2025-01-17T08:48:00,T-1007,2025-01-17T08:36:00,resolved,No
WO-4019,S-2015,2025-01-17T08:30:00,2025-01-17T09:30:00,Low,split-system-noise,mechanical,1.4,2025-01-19T08:30:00,T-1013,2025-01-17T11:08:00,resolved,No
WO-4020,S-2011,2025-01-17T10:18:00,2025-01-17T11:30:00,High,industrial-chiller-fault,refrigerant;controls,20.6,2025-01-17T12:18:00,T-1010,2025-01-17T12:48:00,resolved,Yes
WO-4021,S-2016,2025-01-17T12:55:00,2025-01-17T14:00:00,Medium,cold-storage-temp-drift,refrigerant,3.6,2025-01-17T16:55:00,T-1006,2025-01-17T15:42:00,resolved,No
WO-4022,S-2014,2025-01-20T07:00:00,2025-01-20T08:00:00,High,chiller-compressor-fail,refrigerant;controls,15.8,2025-01-20T09:00:00,T-1001,2025-01-20T08:48:00,resolved,No
WO-4023,S-2007,2025-01-20T09:45:00,2025-01-20T10:30:00,High,freezer-bank-failure,refrigerant,17.9,2025-01-20T11:45:00,T-1018,2025-01-20T11:32:00,resolved,No
WO-4024,S-2002,2025-01-20T11:22:00,2025-01-20T12:30:00,High,industrial-chiller-fault,refrigerant;controls,22.1,2025-01-20T13:22:00,T-1008,2025-01-20T14:18:00,resolved,Yes
WO-4025,S-2012,2025-01-20T13:00:00,2025-01-20T14:00:00,Medium,split-system-coolant,refrigerant,2.8,2025-01-20T17:00:00,T-1011,2025-01-20T15:48:00,resolved,No
WO-4026,S-2020,2025-01-21T08:12:00,2025-01-21T09:30:00,High,chiller-leak,refrigerant;controls,18.9,2025-01-21T10:12:00,T-1007,2025-01-21T10:02:00,resolved,No
WO-4027,S-2017,2025-01-21T10:30:00,2025-01-21T11:30:00,High,industrial-chiller-fault,refrigerant;controls,16.4,2025-01-21T12:30:00,T-1003,2025-01-21T12:54:00,resolved,Yes
WO-4028,S-2004,2025-01-21T13:18:00,2025-01-21T14:30:00,Medium,rooftop-fan-replacement,mechanical;electrical,3.2,2025-01-21T17:18:00,T-1019,2025-01-21T16:08:00,resolved,No
WO-4029,S-2008,2025-01-22T07:00:00,2025-01-22T08:00:00,Medium,cold-room-defrost-fail,controls,3.0,2025-01-22T11:00:00,T-1016,2025-01-22T09:34:00,resolved,No
WO-4030,S-2018,2025-01-22T08:48:00,2025-01-22T10:00:00,Medium,cold-storage-fan,electrical,3.0,2025-01-22T12:48:00,T-1023,2025-01-22T11:18:00,resolved,No
WO-4031,S-2003,2025-01-22T11:00:00,2025-01-22T12:00:00,High,cold-room-failure,refrigerant,5.4,2025-01-22T13:00:00,T-1015,2025-01-22T13:12:00,resolved,Yes
WO-4032,S-2010,2025-01-22T13:36:00,2025-01-22T14:30:00,Medium,rooftop-pressure-drop,refrigerant,4.6,2025-01-22T17:36:00,T-1004,2025-01-22T16:18:00,resolved,No
WO-4033,S-2001,2025-01-23T07:30:00,2025-01-23T08:30:00,High,freezer-temp-alarm,refrigerant;controls,18.4,2025-01-23T09:30:00,T-1007,2025-01-23T09:18:00,resolved,No
WO-4034,S-2005,2025-01-23T09:14:00,2025-01-23T10:00:00,High,industrial-chiller-fault,refrigerant;controls,19.2,2025-01-23T11:14:00,T-1014,2025-01-23T11:02:00,resolved,No
WO-4035,S-2006,2025-01-23T11:48:00,2025-01-23T13:00:00,Medium,mini-split-compressor-fail,refrigerant,3.4,2025-01-23T15:48:00,T-1005,2025-01-23T14:36:00,resolved,No
WO-4036,S-2011,2025-01-23T14:00:00,2025-01-23T15:00:00,High,chiller-controller-fault,controls;refrigerant,20.6,2025-01-23T16:00:00,T-1010,2025-01-23T16:42:00,resolved,Yes
WO-4037,S-2014,2025-01-24T08:00:00,2025-01-24T09:00:00,High,chiller-leak,refrigerant;controls,15.8,2025-01-24T10:00:00,T-1001,2025-01-24T09:48:00,resolved,No
WO-4038,S-2009,2025-01-24T10:34:00,2025-01-25T09:00:00,Low,rooftop-belt-replacement,mechanical,1.2,2025-01-26T10:34:00,T-1009,2025-01-25T10:42:00,resolved,No
WO-4039,S-2013,2025-01-24T12:18:00,2025-01-24T13:30:00,Medium,freezer-fan-burnout,electrical,5.8,2025-01-24T16:18:00,T-1002,2025-01-24T15:32:00,resolved,No
WO-4040,S-2002,2025-01-24T14:00:00,2025-01-24T15:00:00,High,industrial-chiller-fault,refrigerant;controls,22.1,2025-01-24T16:00:00,T-1008,2025-01-24T17:08:00,resolved,Yes
